"","Strain","Well","Bact_score_mean","Mean_Bact_metf_0","Mean_Bact_metf_50","Mean_Bact_metf_100","Mean_Bact_metf_200","SD_Bact_metf_0","SD_Bact_metf_50","SD_Bact_metf_100","SD_Bact_metf_200","phylogroup","fasta","Strainname","Accession","Assembly","Annotation","Broadphenotype","PG","Plate_Well","Plate","Origin","Annotation_0mM","Annotation_50mM","phylogroup_Ctyping","mash_group_Ctyping","Discard","Notes"
"1","NT12001","G1",1.53705493958446,14.9989,11.5749,8.81376666666667,2.66546666666667,0.447549460953759,0.705331928952603,1.00028109216027,1.29388814946785,"A","NT12001_189.fasta","MG1655","PRJNA57779","189","189","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"2","NT12002","G2",1.51194461163733,9.4701,8.04066666666667,5.39,0.8876,0.339137538470751,1.16534366318839,0.796645774481984,0.753623672664281,"A","NT12002_188.fasta","MC4100","PRJEB4621","188","188","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"3","NT12003","G3",1.33114517171871,13.1465,9.30536666666667,6.67483333333333,1.5197,0.356122549131615,0.149147253857835,0.634051909021125,1.19862801986271,"A","NT12003_214.fasta","W3110","PRJEB20550","214","214","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"4","NT12004","G4",1.46614420062696,14.355,10.8187666666667,7.87403333333333,2.3537,0.658108722020914,0.894178267088467,0.496323285100884,1.53182811372556,"A","NT12004_22.fasta","BW25113","PRJNA257976","22","22","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"5","NT12005","G5",1.68574288684403,4.32883333333333,4.06316666666667,2.45036666666667,0.783766666666667,0.442400467148638,0.898048023957145,1.71976847666578,0.626321198214888,"A","NT12005_17.fasta","BL21(DE3)","PRJEA161949","17","17","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"6","NT12006","G6",1.13687853055748,10.0373666666667,7.07073333333333,4.20546666666667,0.135066666666667,1.41917679072529,0.835631978405167,1.41612475909905,0.102059067864317,"A","NT12006_215.fasta","DH5a","PRJEB20550","215","215","Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"7","NT12007","G7",1.28903944520952,13.5546666666667,9.24656666666667,7.50383333333333,0.7221,1.97543155116378,0.478391934853979,0.24339910298383,0.568791455632027,"B2","NT12007_60.fasta","ED1a","PRJNA59379","60","60","Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B2",NA,"No",NA
"8","NT12008","G8",1.14283287142899,15.3218666666667,10.5616333333333,6.63663333333333,0.0566333333333333,1.09101035894868,0.384260619024814,0.627455148463484,0.0908000183553579,"B1","NT12008_101.fasta","IAI01","PRJNA59377","101",NA,"Commensal strain","PG1","PG1_1","1","ECOREF","normal","normal","B1",NA,"No",NA
"9","NT12009","G9",1.31054205523421,5.71036666666667,5.0964,2.92243333333333,0.204833333333333,0.497101139943707,0.70403195950184,1.42126324561403,0.317954121428443,"A","NT12009_154.fasta","OP50","PRJNA49051","154",NA,"Laboratory strain","PG1","PG1_1","1","ECOREF","normal","normal","A",NA,"No",NA
"10","NT12010","G10",0.991416668877862,15.0264,9.14376666666667,6.2699,0.198133333333333,2.0208415598458,0.796530786180504,1.0177653364111,0.163776992686193,"B2","NT12010_146.fasta","Nissle1917","PRJNA186643","146","146","Commensal strain","PG1","PG1_1","1","ECOREF","super_bio","normal","B2",NA,"No",NA
