genome,cluster,type,contig,start,end
1.2,1,thiopeptide,3,118103,144396
1.2,1,NRPS,12,1323,45205
1.3,1,NRPS,5,16303,60185
1.3,1,NRPS|T1PKS,8,42969,98656
1.3,1,siderophore,77,0,13235
1,1,NRPS,18,49670,93552
100,1,thiopeptide,1,240847,267140
100,2,NRPS,1,544379,588261
100,1,NRPS|T1PKS,19,0,59804
100,1,T1PKS|NRPS,25,0,44032
101,1,NRPS|T1PKS,1,338485,444821
101,1,thiopeptide,3,184026,210319
101,1,NRPS,4,103854,147736
102,1,thiopeptide,4,206865,233158
102,1,NRPS,29,8135,52017
102,1,T1PKS|NRPS,31,0,47381
102,1,siderophore,52,14488,25977
103,1,NRPS,11,819,44701
103,1,RiPP-like,68,0,4253
104,1,thiopeptide,7,71808,98101
104,1,NRPS,11,92567,121255
105,1,thiopeptide,6,71690,97983
105,1,NRPS,16,0,28688
106,1,thiopeptide,1,206865,233158
106,1,T1PKS|NRPS,32,9289,56670
106,1,NRPS,34,4876,48758
106,1,siderophore,58,0,10937
107,1,thiopeptide,3,182317,208610
107,1,NRPS,13,11318,55200
107,1,NRPS|T1PKS,14,37217,155048
108,1,T1PKS|NRPS,27,8931,51517
108,1,NRPS,30,21798,50717
108,1,siderophore,37,28873,43004
108,1,thiopeptide,80,0,14839
109,1,thiopeptide,2,126758,153051
109,1,NRPS,34,3262,47144
110,1,NRPS,1,346555,390437
110,2,thiopeptide,1,677625,703918
110,1,T1PKS|NRPS,13,72350,125229
111,1,NRPS,18,0,28687
111,1,thiopeptide,22,0,17540
111,1,NRPS|T1PKS,39,0,33193
111,1,siderophore,109,0,10938
112,1,thiopeptide,2,227422,253715
112,1,NRPS|T1PKS,7,103868,159555
112,1,NRPS,12,11786,55668
112,1,siderophore,46,14468,28883
113,1,NRPS,2,299634,343516
113,1,NRPS|T1PKS,6,0,52869
113,1,thiopeptide,7,76098,102391
114,1,thiopeptide,4,126758,153051
114,1,NRPS,33,3262,47144
115,1,thiopeptide,3,23858,50151
115,1,NRPS|T1PKS,8,103868,159555
115,1,NRPS,11,78793,122675
115,1,siderophore,43,14468,28883
116,1,NRPS,14,75266,119148
116,1,thiopeptide,23,26466,52759
117,1,thiopeptide,1,76994,103287
117,2,NRPS,1,421197,465079
117,1,NRPS|T1PKS,2,404825,460512
118,1,NRPS,13,11477,55359
118,1,thiopeptide,22,23941,50234
119,1,NRPS,3,111857,155739
119,1,thiopeptide,14,21922,48215
119,1,NRPS|T1PKS,17,934,111536
119,1,arylpolyene,26,0,34996
119,1,siderophore,44,14477,25965
120,1,NRPS|T1PKS,1,751,121317
120,1,NRPS,2,254791,298673
120,1,thiopeptide,12,21915,48208
120,1,arylpolyene,20,26334,64619
120,1,siderophore,40,0,11488
121,1,thiopeptide,20,14795,41088
121,1,NRPS,56,0,28377
123,1,arylpolyene,5,43692,87280
123,1,NRPS|T1PKS,7,163178,204951
123,1,NRPS,8,0,28616
123,1,thiopeptide,27,26467,52760
123,1,siderophore,35,8011,22426
124,1,T1PKS|NRPS,2,162353,218040
124,1,NRPS,3,264314,308196
124,1,thiopeptide,11,76098,102391
125,1,arylpolyene,3,135692,179280
125,1,thiopeptide,4,26467,52760
125,1,NRPS|T1PKS,7,163178,204951
125,1,NRPS,9,135107,163723
125,1,siderophore,33,30024,44439
126,1,thiopeptide,3,79592,105885
126,1,NRPS,11,80847,124729
126,1,NRPS|T1PKS,13,664,118791
127,1,NRPS,12,75268,119150
127,1,thiopeptide,25,23916,50209
128,1,thiopeptide,4,124374,150667
128,1,NRPS,14,0,28688
128,1,NRPS|T1PKS,45,0,33302
129,1,thiopeptide,117,0,12365
129,1,siderophore,124,600,11477
129,1,NRPS,142,0,9775
130,1,NRPS,16,78793,107481
130,1,thiopeptide,18,41833,68126
131,1,thiopeptide,116,0,12365
131,1,siderophore,123,0,10877
131,1,NRPS,139,0,9774
132,1,thiopeptide,5,222595,248888
132,1,NRPS,15,19169,63051
132,1,NRPS|T1PKS,22,0,45207
133,1,thiopeptide,4,21999,48292
133,1,NRPS,16,19169,63051
133,1,NRPS|T1PKS,23,0,45207
134,1,arylpolyene,8,35505,79093
134,1,NRPS,21,0,29189
134,1,thiopeptide,23,23977,50270
135,1,thiopeptide,1,209496,235789
135,1,NRPS,6,82034,125916
135,1,NRPS|T1PKS,12,4,117170
135,1,siderophore,48,0,11489
136,1,NRPS,1,299634,343516
136,2,thiopeptide,1,665043,691336
136,1,T1PKS|NRPS,21,11988,63691
137,1,thiopeptide,8,86726,113019
137,1,NRPS,15,0,28925
138,1,thiopeptide,12,24086,50379
138,1,NRPS,33,0,28925
139,1,NRPS,1,267416,311298
139,2,thiopeptide,1,644675,670968
139,1,NRPS|T1PKS,2,404761,460448
14,1,NRPS,18,0,28688
140,1,thiopeptide,1,82673,108966
140,2,NRPS,1,442343,486225
140,1,NRPS|T1PKS,2,404761,460448
141,1,thiopeptide,4,24325,50618
141,1,NRPS,7,92299,120987
141,1,RiPP-like,100,0,3638
142,1,thiopeptide,6,96891,123184
142,1,NRPS,9,0,28688
142,1,RiPP-like,100,0,3639
143,1,NRPS,30,0,28966
143,1,T1PKS|NRPS,34,0,48084
143,1,thiopeptide,92,0,14838
143,1,siderophore,100,0,13603
144,1,NRPS,29,13713,57595
145,1,NRPS,2,175378,219260
145,1,thiopeptide,13,79615,105908
145,1,NRPS|T1PKS,18,59,107296
145,1,siderophore,36,14477,25965
146,1,thiopeptide,3,105570,131863
146,1,NRPS|T1PKS,6,353,106421
146,1,NRPS,7,18898,62780
146,1,siderophore,46,3594,14697
147,1,NRPS,3,91054,134936
147,1,thiopeptide,4,120174,146467
148,1,NRPS,2,254935,298817
148,1,thiopeptide,14,92761,119054
148,1,NRPS|T1PKS,18,76,117161
148,1,arylpolyene,30,0,35290
148,1,siderophore,37,15120,25964
149,1,NRPS,11,5465,49347
149,1,arylpolyene,12,35761,79349
149,1,thiopeptide,28,12188,38481
15,1,NRPS,18,0,28688
150,1,NRPS,5,168273,212155
150,1,arylpolyene,6,35763,79351
150,1,thiopeptide,25,12188,38481
151,1,arylpolyene,8,0,38479
151,2,thiopeptide,8,144606,170899
151,1,T1PKS|NRPS,18,360,113516
151,1,NRPS,23,0,28925
151,1,siderophore,57,0,12126
152,1,thiopeptide,1,79591,105884
152,2,NRPS,1,416266,445191
152,1,NRPS|T1PKS,16,7080,128233
152,1,arylpolyene,24,26334,64813
152,1,siderophore,44,0,12126
153,1,NRPS,4,6298,50180
153,1,thiopeptide,15,81994,108287
153,1,NRPS|T1PKS,16,76,119625
153,1,arylpolyene,24,0,38479
153,1,siderophore,35,0,10844
155,1,NRPS,12,90394,134276
155,1,thiopeptide,18,17796,44089
155,1,NRPS|T1PKS,30,0,54925
155,1,siderophore,53,2081,15522
156,1,thiopeptide,1,181095,207388
156,2,NRPS,1,525131,569013
156,1,T1PKS|NRPS,21,0,47425
157,1,thiopeptide,7,26571,52864
157,1,NRPS,14,79527,123409
157,1,RiPP-like,37,0,8276
158,1,thiopeptide,7,26450,52743
158,1,NRPS,14,76781,120663
158,1,arylpolyene,20,12175,55763
159,1,NRPS,18,0,28799
159,1,thiopeptide,38,0,19815
159,1,siderophore,57,6336,18195
16,1,thiopeptide,1,79582,105875
16,2,NRPS,1,391279,435161
16,1,NRPS|T1PKS,2,449537,570620
160,1,thiopeptide,1,226366,252659
160,2,NRPS,1,538063,581945
160,1,NRPS|T1PKS,3,523,119391
161,1,thiopeptide,2,13098,39391
161,1,NRPS,22,39091,82973
161,1,cyclic-lactone-autoinducer,45,118,18384
162,1,arylpolyene,7,34376,77964
162,1,NRPS,9,0,39736
162,1,thiopeptide,13,87924,114217
162,1,T1PKS|NRPS,19,26753,80747
163,1,thiopeptide,4,82889,109182
163,1,NRPS,13,90579,134461
164,1,thiopeptide,2,225978,252271
164,1,NRPS,22,39091,82973
164,1,cyclic-lactone-autoinducer,45,0,18266
165,1,thiopeptide,4,280971,307264
165,1,NRPS,9,133626,177508
165,1,siderophore,53,0,12126
166,1,NRPS,3,307822,351704
166,1,thiopeptide,15,14266,40559
166,1,T1PKS|NRPS,22,5857,58687
166,1,siderophore,44,0,12126
167,1,NRPS,2,240577,284459
167,1,thiopeptide,14,11299,37592
167,1,NRPS|T1PKS,18,72269,117476
168,1,NRPS,1,86485,130367
168,1,thiopeptide,2,107977,134270
168,1,NRPS|T1PKS,16,0,45207
169,1,NRPS,1,186465,230347
169,1,thiopeptide,3,21948,48241
169,1,NRPS|T1PKS,16,0,45207
170,1,thiopeptide,1,241074,267367
170,1,NRPS,14,1288,45170
171,1,thiopeptide,11,25199,51492
171,1,NRPS,12,1288,45170
172,1,thiopeptide,9,126761,153054
172,1,NRPS,17,81216,125098
173,1,thiopeptide,2,152775,179068
173,1,NRPS,7,132293,176175
173,1,NRPS|T1PKS,22,10050,65737
174,1,NRPS,11,0,28687
174,1,thiopeptide,49,0,18233
175,1,thiopeptide,1,518023,544316
175,1,NRPS,4,179497,223379
175,1,NRPS|T1PKS,15,66302,115631
175,1,NRPS|T1PKS,21,0,71809
176,1,thiopeptide,2,79582,105875
176,2,NRPS,2,391279,435161
176,1,NRPS|T1PKS,3,400309,516226
177,1,NRPS,11,0,28656
177,1,thiopeptide,23,24170,50463
179,1,thiopeptide,4,119319,145612
179,1,NRPS,9,90659,134541
18,1,NRPS|T1PKS,1,0,44595
18,1,NRPS,4,272610,306145
18,1,thiopeptide,6,22025,48318
180,1,thiopeptide,1,207839,234132
180,1,NRPS,2,59220,103102
181,1,thiopeptide,1,473199,499492
181,1,NRPS,3,362041,405923
182,1,thiopeptide,5,25239,51532
182,1,NRPS,16,1288,45170
182,1,arylpolyene,38,0,28676
183,1,thiopeptide,2,228785,255078
183,1,NRPS,5,80820,124702
183,1,NRPS|T1PKS,15,664,113003
184,1,NRPS,1,178957,222839
184,2,thiopeptide,1,508131,534424
184,1,NRPS|T1PKS,2,124,115056
185,1,NRPS,6,157322,200686
185,1,arylpolyene,15,20552,64140
185,1,siderophore,29,13211,27626
185,1,NRPS|T1PKS,40,0,40906
185,1,RiPP-like,72,0,8434
186,1,thiopeptide,6,173586,199879
186,1,NRPS,12,111883,155765
186,1,T1PKS|NRPS,18,77,112886
187,1,NRPS,1,268251,312133
187,2,thiopeptide,1,633022,659315
188,1,thiopeptide,10,126766,153059
188,1,NRPS,13,662,44544
189,1,thiopeptide,2,168340,194633
189,1,NRPS,7,85476,129358
